shared_eligible_queries,both_positive_count,both_positive_mean_qa_f1,both_positive_qa_positive_rate,both_positive_qa_strong_rate,lhs_only_count,lhs_only_mean_qa_f1,lhs_only_qa_positive_rate,lhs_only_qa_strong_rate,rhs_only_count,rhs_only_mean_qa_f1,rhs_only_qa_positive_rate,rhs_only_qa_strong_rate,both_negative_count,both_negative_mean_qa_f1,both_negative_qa_positive_rate,both_negative_qa_strong_rate,rhs_minus_lhs_mean_qa_f1,rhs_minus_lhs_qa_positive_rate,rhs_minus_lhs_qa_strong_rate,dataset,run_id,system_label,parser_max_facts,lhs_mode,rhs_mode,lhs_label,rhs_label,metric_key,metric_label
1533,1117,0.1497619537697161,0.4583706356311549,0.09847806624888093,0,,,,70,0.057998297423763265,0.3,0.02857142857142857,346,0.07032617237004089,0.26878612716763006,0.04046242774566474,,,,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
1533,2,0.0,0.0,0.0,0,,,,164,0.1611749967578108,0.5121951219512195,0.10365853658536585,1367,0.12380697831176991,0.39648866130212146,0.07973664959765911,,,,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,raw_turn,source_family,Raw,Source,top1,Top1
453,306,0.1507504098105352,0.46405228758169936,0.0915032679738562,25,0.035040562782498265,0.16,0.0,70,0.057998297423763265,0.3,0.02857142857142857,52,0.09478550725235076,0.3076923076923077,0.057692307692307696,0.022957734641265,0.13999999999999999,0.02857142857142857,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
453,0,,,,0,,,,164,0.1611749967578108,0.5121951219512195,0.10365853658536585,289,0.10228950588266755,0.34256055363321797,0.05536332179930796,,,,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,raw_turn,canonical,Raw,Canonical,top1,Top1
453,376,0.13348272931299787,0.43351063829787234,0.0797872340425532,25,0.035040562782498265,0.16,0.0,0,,,,52,0.09478550725235076,0.3076923076923077,0.057692307692307696,,,,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
453,164,0.1611749967578108,0.5121951219512195,0.10365853658536585,0,,,,0,,,,289,0.10228950588266755,0.34256055363321797,0.05536332179930796,,,,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,source_family,canonical,Source,Canonical,top1,Top1
1533,1009,0.16446519118295033,0.46778989098116946,0.11694747274529237,0,,,,181,0.0537186849241424,0.281767955801105,0.011049723756906077,343,0.06451743122238844,0.2536443148688047,0.037900874635568516,,,,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
1533,20,0.1766374269005848,0.35,0.2,0,,,,173,0.1786193273368941,0.5086705202312138,0.12138728323699421,1340,0.12191346762451605,0.3843283582089552,0.08059701492537313,,,,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,raw_turn,source_family,Raw,Source,top1,Top1
899,514,0.17188663129323511,0.4766536964980545,0.13229571984435798,63,0.17109980089856253,0.4444444444444444,0.09523809523809523,181,0.0537186849241424,0.281767955801105,0.011049723756906077,141,0.05433979074446075,0.2127659574468085,0.028368794326241134,-0.11738111597442014,-0.16267648864333945,-0.08418837148118916,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
899,0,,,,20,0.1766374269005848,0.35,0.2,173,0.1786193273368941,0.5086705202312138,0.12138728323699421,706,0.11626078787574597,0.3668555240793201,0.07790368271954674,0.001981900436309303,0.15867052023121386,-0.0786127167630058,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,raw_turn,canonical,Raw,Canonical,top1,Top1
